date,spatial_id,lat,lon,.geo,satellite,NDVI,NDWI,MNDWI,NDRE,IRECI,S2REP,VH,VV,Ratio,LST,Slope,week
2025-08-15,46.111372_12.835088,46.11137161206268,12.835088285571567,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.835088285571569,46.11137161206268]}",S2,0.7509562260943476,-0.6519647153167603,-0.5337093741606231,0.5058479532163743,8098.002958579881,722.0467758985201,,,,,1.3376284837722778,2025-W33
2025-08-17,46.107299_12.838429,46.10729890236789,12.838428795750351,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.838428795750353,46.10729890236789]}","S1,S2",,,,,,,-17.248922791457236,-10.831210002691709,-6.417712788765529,,1.6274040937423706,2025-W33
2025-08-17,46.102017_12.840261,46.10201670606906,12.840261362116673,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.840261362116673,46.10201670606906]}","S1,S2",,,,,,,-17.08033465671442,-9.500795156713972,-7.579539500000449,,0.9274099469184875,2025-W33
2025-08-17,46.116607_12.831957,46.116607303140725,12.831957456939284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.831957456939284,46.116607303140725]}","S1,S2",0.857451403887689,-0.7274857716772681,-0.5601188867873548,0.5232472324723247,11842.863777089784,718.6354166666666,-15.473836746011257,-8.54647638119383,-6.927360364817426,,3.084475040435791,2025-W33
2025-08-16,46.103188_12.840213,46.103188442162704,12.840213443394772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.840213443394772,46.103188442162704]}",S1,,,,,,,-15.43256860337345,-9.08620816562205,-6.3463604377514,,0.9274099469184875,2025-W33
2025-08-17,46.110811_12.835696,46.110811119704195,12.835696426421986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.835696426421986,46.110811119704195]}","S1,S2",,,,,,,-16.96797870450555,-10.326229503939263,-6.641749200566288,,2.6737735271453857,2025-W33
2025-08-16,46.102542_12.848709,46.102542254553995,12.848708604622876,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.848708604622876,46.102542254553995]}",S1,,,,,,,-18.528152690391195,-11.136826800057763,-7.391325890333432,,2.8292229175567627,2025-W33
2025-08-15,46.1163_12.830383,46.11630011442227,12.830383001031317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.830383001031317,46.11630011442227]}",S2,0.826608254553839,-0.7088006902502157,-0.5695153061224489,0.5551629367883785,9676.194174757282,722.1693187468921,,,,,1.627586841583252,2025-W33
2025-08-17,46.106956_12.840605,46.106955671671145,12.840604833681963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.840604833681965,46.106955671671145]}","S1,S2",,,,,,,-17.917465465372615,-8.127767968334368,-9.789697497038247,,1.8543341159820557,2025-W33
2025-08-15,46.104816_12.834633,46.10481621903421,12.834633008349307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.834633008349309,46.10481621903421]}",S2,0.4789915966386555,-0.4926754047802621,-0.4481023275319774,0.3197000681663258,4006.820140280561,721.3950276243094,,,,,1.8543341159820557,2025-W33
2025-08-16,46.115463_12.828513,46.11546276367812,12.8285129401037,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.828512940103701,46.11546276367812]}",S1,,,,,,,-17.19188899471476,-10.377986823830062,-6.813902170884697,,0.0,2025-W33
